File Name,LPIPS Value
9.png,0.7115689516067505
6.png,0.7279881238937378
20.png,0.7428398132324219
22.png,0.7082239985466003
10.png,0.7222594618797302
14.png,0.6887439489364624
21.png,0.731931746006012
23.png,0.6937296390533447
24.png,0.6912038326263428
3.png,0.6866110563278198
8.png,0.6874560117721558
5.png,0.6947752237319946
11.png,0.6403255462646484
7.png,0.7258425951004028
12.png,0.7357351779937744
2.png,0.0
1.png,0.7274039387702942
19.png,0.7086590528488159
13.png,0.7519646883010864
16.png,0.7508564591407776
18.png,0.714102029800415
4.png,0.6935297250747681
15.png,0.7152734994888306
17.png,0.7326942682266235
